sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
SN2000cx,0.007929,0.0068909,0.843,0.005,13.988,0.012,-6.3,0.0698,0.007,1.121e-05,32.301,0.315,Ho,0.053,0.008,0.0,NGC0524,32.212,0.09,0.0,0.0,0.0,0.0,10.929,10.84,11.018,N/A,N/A,0,s
SN2002cs,0.01577,0.0153173,1.236,0.016,15.56,0.022,-6.6,0.0878,0.0088,0.0001256,,,,0.047,0.016,0.0,NGC6702,33.992,0.087,9.302,0.027,62.9,2.5,11.324,11.229,11.419,N/A,N/A,0,s
SN2002ha,0.014046,0.0130545,0.832,0.005,15.376,0.009,-9.4,0.0852,0.0085,8.998e-06,,,,-0.064,0.007,0.0,NGC6964,33.685,0.096,9.684,0.031,54.6,2.4,11.021,10.915000000000001,11.127,N/A,N/A,0,s
SN2003hv,0.005601,0.0050833,0.789,0.019,13.118,0.061,4.2,0.0133,0.0013,-5.358e-06,31.641,0.427,Ho,-0.079,0.061,0.0,NGC1201,31.347,0.074,0.0,0.0,0.0,0.0,10.565,10.504999999999999,10.625,N/A,N/A,0,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.889,0.008,-7.3,0.0179,0.0018,2.813e-06,31.815,0.394,Ho,-0.065,0.007,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN2006ef,0.01787,0.0170267,0.858,0.02,16.141,0.066,12.8,0.0201,0.002,1.392e-05,,,,-0.024,0.081,0.0,NGC0809,34.376,0.109,0.0,0.0,0.0,0.0,10.35,10.17,10.53,N/A,N/A,0,s
SN2007on,0.00649,0.0061833,0.589,0.003,13.387,0.022,-7.3,0.0098,0.001,-2.419e-06,31.998,0.004,Ho,0.115,0.012,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2008L,0.0194,0.0188584,0.768,0.015,16.056,0.033,-6.8,0.1357,0.0136,-3.245e-06,,,,-0.066,0.025,0.0,NGC1259,34.365,0.105,10.663,0.045,74.6,3.6,10.888,10.768,11.008,N/A,N/A,0,s
SN2008Q,0.007935,0.0068975,0.789,0.02,14.047,0.018,-2.1,0.0716,0.0072,8.175e-05,32.303,0.315,Ho,-0.041,0.016,0.0,NGC524,31.922,0.212,,,,,10.929,10.839,11.019,N/A,N/A,0,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.573,0.015,0.1,0.0618,0.0062,-1.354e-05,,,,0.12,0.011,0.0,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,11.13,11.37,N/A,N/A,0,s
SN2008hs,0.017349,0.0166411,0.625,0.006,16.471,0.019,-9.2,0.0497,0.005,4.97e-06,,,,0.086,0.024,0.0,NGC0910,34.459,0.093,9.357,0.033,77.9,3.3,11.504,11.401,11.607,N/A,N/A,0,s
SN2008hv,0.01254,0.01358,0.867,0.004,15.454,0.013,-7.8,0.0279,0.0028,5.977e-06,,,,-0.047,0.011,0.0,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,10.370000000000001,10.73,N/A,N/A,0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,16.553,0.021,-1.1,0.1954,0.0195,7.032e-06,,,,-0.035,0.016,0.0,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,10.27,11.27,N/A,N/A,0,s
SN2010Y,0.0109,0.0112644,0.66,0.006,15.46,0.016,-6.8,0.0117,0.0012,1.668e-06,,,,0.02,0.016,0.0,NGC3392,33.861,0.088,10.862,0.05,59.2,2.4,10.58,10.474,10.686,N/A,N/A,0,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.825,0.014,-1.5,0.0098,0.001,-1.565e-05,32.066,0.351,Ho,0.03,0.011,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2012cg,0.001458,0.0025798,1.024,0.008,12.449,0.012,-13.0,0.0179,0.0018,5.844e-06,30.168,0.841,Ho,0.075,0.009,0.0,NGC4424,31.02,0.18,,,,,9.706,9.623,9.789,N/A,N/A,0,s
SN2015bp,0.004069,0.0047083,0.71,0.007,14.195,0.014,-3.2,0.0454,0.0045,-2.129e-05,31.474,0.461,Ho,0.083,0.013,0.0,NGC5839,32.369,0.078,0.0,0.0,0.0,0.0,9.979,9.841999999999999,10.116,N/A,N/A,0,s
SN2016ajf,0.0203,0.0197686,0.493,0.016,16.685,0.027,-3.7,0.1417,0.0142,5.268e-05,,,,0.56,0.076,0.0,NGC1278,34.202,0.106,9.254,0.027,69.2,3.4,11.436,11.32,11.552,N/A,N/A,0,s
SN2016coj,0.004483,0.0048465,0.811,0.008,13.741,0.014,-9.0,0.0163,0.0016,2.064e-05,31.537,0.448,Ho,0.0,0.013,0.0,NGC4125,31.922,0.258,,,,,11.083,11.019,11.147,N/A,N/A,0,s
SN2017fgc,0.007722,0.0066745,1.171,0.012,14.187,0.016,-10.4,0.0294,0.0029,5.3e-05,32.232,0.325,Ho,0.376,0.017,0.0,NGC0474,32.536,0.133,,,,,10.568,10.507,10.629,N/A,N/A,0,s
SN2018aoz,0.005801,0.006934,0.87,0.004,13.423,0.011,-1.5,0.0721,0.0072,2.127e-05,32.315,0.313,Ho,0.01,0.01,0.0,NGC3923,31.795,0.101,,,,,11.204,11.139,11.269,N/A,N/A,0,s
SN2019ein,0.007755,0.0083714,0.864,0.01,14.641,0.071,12.2,0.0099,0.001,5.333e-05,,,,-0.014,0.022,0.0,NGC5353,32.711,0.076,7.654,0.011,34.8,1.2,11.484,11.404,11.564,N/A,N/A,0,s
