sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN2016coj,0.004523,0.0048865,0.888,0.011,13.173,0.017,-8.4,0.0163,0.0016,0.0001104,N/A,N/A,0,N/A,N/A,0.175,0.019,0.000289,11.019,11.083,11.147,NGC4125,31.922,0.258,s
SN2017fgc,0.007722,0.0066745,0.922,0.016,13.585,0.015,-14.2,0.0294,0.0029,0.0001335,N/A,N/A,0,N/A,N/A,0.23,0.018,0.000225,10.507,10.568,10.629,NGC0474,32.536,0.133,s
SN2018aoz,0.005801,0.006934,0.855,0.008,12.511,0.008,-11.9,0.0721,0.0072,3.638e-05,N/A,N/A,0,N/A,N/A,-0.097,0.011,6.4e-05,11.139,11.204,11.269,NGC3923,31.795,0.101,s
SN2020ue,0.003129,0.0042534,0.714,0.011,11.983,0.01,-9.6,0.0241,0.0024,6.045e-05,N/A,N/A,0,N/A,N/A,-0.089,0.013,0.000100,10.742,10.803,10.864,NGC4636,30.830,0.130,s
SN2006ef,0.01787,0.0170267,0.858,0.02,15.44,0.067,10.0,0.0201,0.002,-3.546e-05,CSPI,Ia,0.943,0,0,-0.024,0.081,0.004489,10.18,10.35,10.49,NGC0809,34.376,0.109,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.27,0.008,-1.4,0.0618,0.0062,1.943e-06,CSPI,Ia,0.976,0,0,0.12,0.011,6.4e-05,11.07,11.25,11.31,NGC1200,33.66,0.08,s
SN2008ia,0.0219833,0.02254,0.834,0.006,15.88,0.011,-3.7,0.1954,0.0195,8.762e-06,CSPI,Ia,0.983,0,0,-0.035,0.016,0.000121,10.54,10.77,11.23,ESO 125-G006,34.896,0.195,s
PTF13ebh,0.01326,0.012484,0.632,0.004,15.042,0.007,-13.1,0.0668,0.0067,6.795e-06,CSPII,Ia,0.975,0,1,0.117,0.009,4.9e-05,10.8,10.86,11.02,NGC 0890,33.296,0.081,s


