sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
SN2002ha,0.014046,0.0130545,0.832,0.005,14.85,0.006,-13.2,0.0852,0.0085,7.421e-06,,,,-0.064,0.007,0.0,NGC6964,33.685,0.096,9.684,0.031,54.6,2.4,11.021,10.915000000000001,11.127,N/A,N/A,0,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.598,0.027,0.6,0.0133,0.0013,-9.471e-06,31.641,0.427,Ho,-0.079,0.061,0.0,NGC1201,31.347,0.074,0.0,0.0,0.0,0.0,10.565,10.504999999999999,10.625,N/A,N/A,0,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.312,0.006,-12.0,0.0179,0.0018,3.345e-06,31.815,0.394,Ho,-0.065,0.007,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN2006ef,0.01787,0.0170267,0.858,0.02,15.557,0.034,8.8,0.0201,0.002,-1.348e-05,,,,-0.024,0.081,0.0,NGC0809,34.376,0.109,0.0,0.0,0.0,0.0,10.35,10.17,10.53,N/A,N/A,0,s
SN2007on,0.00649,0.0061833,0.589,0.003,12.969,0.011,-10.4,0.0098,0.001,1.485e-06,31.998,0.004,Ho,0.115,0.012,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2008L,0.0194,0.0188584,0.768,0.015,15.452,0.021,-10.3,0.1357,0.0136,3.325e-05,,,,-0.066,0.025,0.0,NGC1259,34.365,0.105,10.663,0.045,74.6,3.6,10.888,10.768,11.008,N/A,N/A,0,s
SN2008Q,0.007935,0.0068975,0.789,0.02,13.55,0.012,-5.7,0.0716,0.0072,8.744e-05,32.303,0.315,Ho,-0.041,0.016,0.0,NGC524,31.922,0.212,,,,,10.929,10.839,11.019,N/A,N/A,0,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.167,0.009,-3.1,0.0618,0.0062,4.82e-06,,,,0.12,0.011,0.0,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,11.13,11.37,N/A,N/A,0,s
SN2008hs,0.017349,0.0166411,0.625,0.006,16.057,0.014,-12.4,0.0497,0.005,1.416e-05,,,,0.086,0.024,0.0,NGC0910,34.459,0.093,9.357,0.033,77.9,3.3,11.504,11.401,11.607,N/A,N/A,0,s
SN2008hv,0.01254,0.01358,0.867,0.004,14.868,0.009,-11.9,0.0279,0.0028,7.1e-06,,,,-0.047,0.011,0.0,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,10.370000000000001,10.73,N/A,N/A,0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,15.97,0.013,-5.0,0.1954,0.0195,9.973e-06,,,,-0.035,0.016,0.0,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,10.27,11.27,N/A,N/A,0,s
SN2010Y,0.0109,0.0112644,0.66,0.006,15.018,0.012,-10.1,0.0117,0.0012,1.828e-05,,,,0.02,0.016,0.0,NGC3392,33.861,0.088,10.862,0.05,59.2,2.4,10.58,10.474,10.686,N/A,N/A,0,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.463,0.009,-4.8,0.0098,0.001,1.39e-05,32.066,0.351,Ho,0.03,0.011,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2012cg,0.001458,0.0025798,1.024,0.008,11.99,0.007,-18.0,0.0179,0.0018,1.38e-05,30.168,0.841,Ho,0.075,0.009,0.0,NGC4424,31.02,0.18,,,,,9.706,9.623,9.789,N/A,N/A,0,s
SN2015bp,0.004069,0.0047083,0.71,0.007,13.693,0.009,-6.6,0.0454,0.0045,-1.513e-07,31.474,0.461,Ho,0.083,0.013,0.0,NGC5839,32.369,0.078,0.0,0.0,0.0,0.0,9.979,9.841999999999999,10.116,N/A,N/A,0,s
SN2016ajf,0.0203,0.0197686,0.493,0.016,16.396,0.02,-6.5,0.1417,0.0142,0.0001348,,,,0.56,0.076,0.0,NGC1278,34.202,0.106,9.254,0.027,69.2,3.4,11.436,11.32,11.552,N/A,N/A,0,s
SN2016coj,0.004483,0.0048465,0.811,0.008,13.127,0.009,-12.7,0.0163,0.0016,1.939e-05,31.537,0.448,Ho,0.0,0.013,0.0,NGC4125,31.922,0.258,,,,,11.083,11.019,11.147,N/A,N/A,0,s
SN2017fgc,0.007722,0.0066745,1.171,0.012,13.557,0.008,-15.6,0.0294,0.0029,3.371e-06,32.232,0.325,Ho,0.376,0.017,0.0,NGC0474,32.536,0.133,,,,,10.568,10.507,10.629,N/A,N/A,0,s
SN2018aoz,0.005801,0.006934,0.87,0.004,12.827,0.007,-5.5,0.0721,0.0072,1.399e-05,32.315,0.313,Ho,0.01,0.01,0.0,NGC3923,31.795,0.101,,,,,11.204,11.139,11.269,N/A,N/A,0,s
SN2019ein,0.007755,0.0083714,0.864,0.01,14.001,0.019,8.2,0.0099,0.001,7.705e-05,,,,-0.014,0.022,0.0,NGC5353,32.711,0.076,7.654,0.011,34.8,1.2,11.484,11.404,11.564,N/A,N/A,0,s
