sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
SN2002cs,0.01577,0.0153173,1.236,0.016,15.16,0.01,-10.5,0.0878,0.0088,9.947e-06,,,,0.047,0.016,-0.0001,NGC6702,33.992,0.087,9.302,0.027,62.9,2.5,11.324,11.229,11.419,N/A,N/A,0,s
SN2002ha,0.014046,0.0130545,0.832,0.005,14.808,0.005,-13.3,0.0852,0.0085,8.674e-06,,,,-0.064,0.007,-2.5e-05,NGC6964,33.685,0.096,9.684,0.031,54.6,2.4,11.021,10.915000000000001,11.127,N/A,N/A,0,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.528,0.036,0.5,0.0133,0.0013,-8.536e-06,31.641,0.427,Ho,-0.079,0.061,-0.001296,NGC1201,31.347,0.074,0.0,0.0,0.0,0.0,10.565,10.504999999999999,10.625,N/A,N/A,0,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.31,0.005,-14.3,0.0179,0.0018,6.264e-06,31.815,0.394,Ho,-0.065,0.007,-2.5e-05,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN2006ef,0.01787,0.0170267,0.858,0.02,15.464,0.045,8.7,0.0201,0.002,-6.057e-06,,,,-0.024,0.081,-0.002025,NGC0809,34.376,0.109,0.0,0.0,0.0,0.0,10.35,10.17,10.53,N/A,N/A,0,s
SN2007cv,0.0076,0.0087491,0.711,0.01,15.042,0.012,-9.8,0.0611,0.0061,5.898e-05,,,,0.018,0.017,-0.000144,IC2597,33.673,0.082,8.634,0.026,54.3,2.1,11.478,11.385,11.571,N/A,N/A,0,s
SN2007on,0.00649,0.0061833,0.589,0.003,12.917,0.008,-9.6,0.0098,0.001,4.708e-06,31.998,0.004,Ho,0.115,0.012,-6.4e-05,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2008L,0.0194,0.0188584,0.768,0.015,15.338,0.016,-3.9,0.1357,0.0136,2.148e-05,,,,-0.066,0.025,-0.000256,NGC1259,34.365,0.105,10.663,0.045,74.6,3.6,10.888,10.768,11.008,N/A,N/A,0,s
SN2008Q,0.007935,0.0068975,0.789,0.02,13.51,0.01,-7.8,0.0716,0.0072,8.224e-05,32.303,0.315,Ho,-0.041,0.016,-0.0001,NGC524,31.922,0.212,,,,,10.929,10.839,11.019,N/A,N/A,0,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.15,0.007,-2.6,0.0618,0.0062,9.856e-06,,,,0.12,0.011,-4.9e-05,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,11.13,11.37,N/A,N/A,0,s
SN2008hs,0.017349,0.0166411,0.625,0.006,15.966,0.014,-9.9,0.0497,0.005,2.886e-05,,,,0.086,0.024,-0.000196,NGC0910,34.459,0.093,9.357,0.033,77.9,3.3,11.504,11.401,11.607,N/A,N/A,0,s
SN2008hv,0.01254,0.01358,0.867,0.004,14.787,0.007,-12.0,0.0279,0.0028,6.359e-06,,,,-0.047,0.011,-4.9e-05,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,10.370000000000001,10.73,N/A,N/A,0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,15.915,0.011,-5.1,0.1954,0.0195,1.689e-05,,,,-0.035,0.016,-0.000121,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,10.27,11.27,N/A,N/A,0,s
SN2010Y,0.0109,0.0112644,0.66,0.006,14.985,0.01,-9.6,0.0117,0.0012,1.981e-05,,,,0.02,0.016,-0.0001,NGC3392,33.861,0.088,10.862,0.05,59.2,2.4,10.58,10.474,10.686,N/A,N/A,0,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.433,0.007,-4.5,0.0098,0.001,1.473e-05,32.066,0.351,Ho,0.03,0.011,-4.9e-05,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2012cg,0.001458,0.0025798,1.024,0.008,11.927,0.005,-18.7,0.0179,0.0018,5.628e-06,30.168,0.841,Ho,0.075,0.009,-2.5e-05,NGC4424,31.02,0.18,,,,,9.706,9.623,9.789,N/A,N/A,0,s
SN2014bv,0.005594,0.0057398,0.622,0.015,13.794,0.013,-1.4,0.0331,0.0033,1.03e-06,31.904,0.378,Ho,0.212,0.022,-0.000169,NGC4386,32.427,0.08,0.0,0.0,0.0,0.0,10.48,10.416,10.544,N/A,N/A,0,s
SN2015bp,0.004069,0.0047083,0.71,0.007,13.696,0.008,-12.9,0.0454,0.0045,2.138e-05,31.474,0.461,Ho,0.083,0.013,-6.4e-05,NGC5839,32.369,0.078,0.0,0.0,0.0,0.0,9.979,9.841999999999999,10.116,N/A,N/A,0,s
SN2016ajf,0.0203,0.0197686,0.493,0.016,16.367,0.057,-5.6,0.1417,0.0142,0.0001191,,,,0.56,0.076,-0.003249,NGC1278,34.202,0.106,9.254,0.027,69.2,3.4,11.436,11.32,11.552,N/A,N/A,0,s
SN2016coj,0.004483,0.0048465,0.811,0.008,13.101,0.009,-12.8,0.0163,0.0016,3.716e-05,31.537,0.448,Ho,0.0,0.013,-8.1e-05,NGC4125,31.922,0.258,,,,,11.083,11.019,11.147,N/A,N/A,0,s
SN2017fgc,0.007722,0.0066745,1.171,0.012,13.644,0.009,-14.4,0.0294,0.0029,4.941e-05,32.232,0.325,Ho,0.376,0.017,-8.1e-05,NGC0474,32.536,0.133,,,,,10.568,10.507,10.629,N/A,N/A,0,s
SN2018aoz,0.005801,0.006934,0.855,0.008,12.608,0.007,-13.1,0.0721,0.0072,2.54e-05,32.315,0.313,Ho,-0.222,0.01,-3.6e-05,NGC3923,31.795,0.101,,,,,11.204,11.139,11.269,N/A,N/A,0,s
SN2019ein,0.007755,0.0083714,0.864,0.01,14.193,0.013,-7.8,0.0099,0.001,7.664e-05,,,,-0.014,0.022,-0.000169,NGC5353,32.711,0.076,7.654,0.011,34.8,1.2,11.484,11.404,11.564,N/A,N/A,0,s
SN2020ue,0.003129,0.0042534,0.714,0.011,12.072,0.008,-10.7,0.0241,0.0024,3.24e-05,31.254,0.51,Ho,-0.089,0.013,-6.4e-05,NGC4636,30.83,0.13,,,,,10.803,10.742,10.864,N/A,N/A,0,s
