sn,br
LSQ13dcy,BL
LSQ13dhj,CN
LSQ13dkp,CL
LSQ13dpm,CN
LSQ13dqh,CN
LSQ13dsm,CN
LSQ13lq,SS
LSQ13pf,na
LSQ13ry,na
LSQ13vy,na
LSQ14act,CL
LSQ14age,CN
LSQ14ahc,CN
LSQ14ahm,SS
LSQ14ajn,CN/CL
LSQ14asu,CN
LSQ14auy,CN
LSQ14azy,BL
LSQ14ba,BL
LSQ14bbv,CN?
LSQ14bjj,CN
LSQ14fms,CL
LSQ14foj,BL
LSQ14fom,SS
LSQ14gfb,CL
LSQ14gfn,SS
LSQ14ghv,na
LSQ14gov,CN
LSQ14ie,CN
LSQ14ip,CL
LSQ14jp,CL
LSQ14mc,SS
LSQ14q,CN
LSQ14wp,SS
LSQ14xi,CN
LSQ15aae,SS
LSQ15agh,SS
LSQ15aja,CN
LSQ15alq,CN
LSQ15bv,na
PS1-13eao,na
PS1-14ra,CL
PS1-14rx,CN
PS1-14xw,CN
PS15sv,SS
PTF11pbp,CN
PTF11ppn,na
PTF11pra,CL
PTF11qnr,CN
PTF13anh,CN
PTF13duj,CN
PTF13dwl,SS
PTF13dym,na
PTF13ebh,CL
PTF13efe,CN
PTF13ez,na
PTF14aaf,na
PTF14aje,CN
PTF14fpg,CN
PTF14gnl,CN
PTF14uo,na
PTF14w,CL
PTF14yw,CN/BL
PTF14yy,na
SN2011iv,CL
SN2011iy,na
SN2011jh,CL
SN2011jn,na
SN2011jt,BL
SN2012ah,BL
SN2012aq,CN
SN2012ar,na
SN2012bl,CN
SN2012bo,CN
SN2012E,BL
SN2012fr,SS
SN2012G,SS
SN2012gm,CN
SN2012hd,BL
SN2012hl,BL
SN2012hr,BL
SN2012ht,BL
SN2012id,CL?
SN2012ij,CL
SN2012U,na
SN2013aa,CN
SN2013ad,SS
SN2013aj,BL
SN2013as,CN
SN2013ay,na
SN2013az,na
SN2013bc,CL
SN2013bz,SS
SN2013cg,na
SN2013ct,na
SN2013E,SS/CN
SN2013fy,CN
SN2013fz,CN
SN2013gv,CN/BL
SN2013gy,CN
SN2013H,CN
SN2013hh,SS
SN2013hn,BL
SN2013M,na
SN2013U,SS
SN2014ao,CN
SN2014at,CN
SN2014ba,na
SN2014D,CN
SN2014dl,SS
SN2014dn,CL
SN2014eg,SS
SN2014I,CN
SN2014Z,BL
SN2015F,CN
SNhunt281,CL
SN1981B,BL
SN1981D,na
SN1989B,BL
SN1994D,CN
SN1994ae,CN
SN1995al,BL
SN1998bu,CN
SN2001el,CN
SN2002fk,CN
SN2006dd,CN
SN2003du,CN
SN2007af,BL
SN2007sr,na
SN2011fe,CN
SN2011iv,CL
SN2012cg,CN
SN2012fr,SS
SN2017cbv,CN
