sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
KISS13j	18.865	19.392	0.045	N/A	CSPII
KISS13l	19.506	19.305	0.426	N/A	CSPII
KISS13v	19.282	19.563	0.04	N/A	CSPII
KISS15m	18.292	20.499	0.046	N/A	CSPII
KISS15n	15.515	15.512	0.035	N/A	CSPII
LSQ11bk	16.875	16.619	0.037	N/A	CSPII
LSQ11ot	17.877	18.872	0.033	N/A	CSPII
LSQ11pn	17.481	18.66	0.037	N/A	CSPII
LSQ12agq	18.444	18.515	0.128	N/A	CSPII
LSQ12aor	19.355	19.244	0.044	N/A	CSPII
LSQ12bld	19.018	19.366	0.036	N/A	CSPII
LSQ12btn	18.234	18.703	0.035	N/A	CSPII
LSQ12ca	19.045	18.954	0.121	N/A	CSPII
LSQ12cda	20.149	20.486	0.471	N/A	CSPII
LSQ12cdl	19.134	18.744	0.128	N/A	CSPII
LSQ12fuk	15.674	15.684	0.035	N/A	CSPII
LSQ12fvl	18.75	19.791	0.037	N/A	CSPII
LSQ12fxd	16.286	16.037	0.033	N/A	CSPII
LSQ12gdj	15.852	15.551	0.034	N/A	CSPII
LSQ12gef	18.896	19.429	0.118	N/A	CSPII
LSQ12gln	18.97	18.65	0.037	N/A	CSPII
LSQ12gxj	18.071	18.768	0.034	N/A	CSPII
LSQ12gyc	18.758	18.383	0.049	N/A	CSPII
LSQ12gzm	19.506	19.369	0.05	N/A	CSPII
LSQ12hjm	18.293	18.137	0.033	N/A	CSPII
LSQ12hno	17.92	18.134	0.036	N/A	CSPII
LSQ12hnr	19.413	19.347	0.208	N/A	CSPII
LSQ12hvj	18.41	18.438	0.038	N/A	CSPII
LSQ12hxx	18.236	18.188	0.046	N/A	CSPII
LSQ12hzj	16.51	16.358	0.033	N/A	CSPII
LSQ12hzs	18.796	19.079	0.038	N/A	CSPII
LSQ13abo	18.812	19.571	0.046	N/A	CSPII
LSQ13aiz	13.71	14.037	0.034	N/A	CSPII
LSQ13cwp	18.399	18.727	0.044	N/A	CSPII
LSQ13dby	19.109	18.766	0.038	N/A	CSPII
LSQ13dcy	19.173	19.618	0.047	N/A	CSPII
LSQ13dhj	19.06	19.032	0.046	N/A	CSPII
LSQ13dkp	18.761	19.07	0.035	N/A	CSPII
LSQ13dpm	17.684	17.605	0.033	N/A	CSPII
LSQ13dqh	19.323	18.923	0.045	N/A	CSPII
LSQ13dsm	17.265	17.346	0.033	N/A	CSPII
LSQ13lq	18.007	17.737	0.042	N/A	CSPII
LSQ13pf	19.667	20.471	0.127	N/A	CSPII
LSQ13ry	16.541	16.54	0.034	N/A	CSPII
LSQ13vy	17.65	18.005	0.033	N/A	CSPII
LSQ14act	18.371	18.652	0.034	N/A	CSPII
LSQ14age	18.481	18.332	0.039	N/A	CSPII
LSQ14ahc	17.275	16.873	0.036	N/A	CSPII
LSQ14ahm	17.213	16.876	0.036	N/A	CSPII
LSQ14ajn	16.3	16.816	0.033	N/A	CSPII
LSQ14asu	18.887	19.116	0.035	N/A	CSPII
LSQ14auy	18.659	18.404	0.042	N/A	CSPII
LSQ14azy	17.685	17.724	0.113	N/A	CSPII
LSQ14ba	18.793	18.966	0.035	N/A	CSPII
LSQ14bbv	17.747	17.706	0.034	N/A	CSPII
LSQ14bjj	18.475	18.272	0.034	N/A	CSPII
LSQ14fms	19.013	19.697	0.039	N/A	CSPII
LSQ14foj	17.342	17.516	0.035	N/A	CSPII
LSQ14fom	17.794	17.942	0.035	N/A	CSPII
LSQ14gfb	19.555	21.468	0.096	N/A	CSPII
LSQ14gfn	19.366	19.418	0.166	N/A	CSPII
LSQ14ghv	18.382	18.375	0.035	N/A	CSPII
LSQ14gov	18.453	18.095	0.034	N/A	CSPII
LSQ14ie	18.748	18.528	0.037	N/A	CSPII
LSQ14ip	19.478	20.822	0.04	N/A	CSPII
LSQ14jp	18.134	18.778	0.034	N/A	CSPII
LSQ14mc	17.818	17.804	0.033	N/A	CSPII
LSQ14q	18.177	18.109	0.033	N/A	CSPII
LSQ14wp	17.88	17.635	0.037	N/A	CSPII
LSQ14xi	18.257	18.703	0.037	N/A	CSPII
LSQ15aae	17.843	17.746	0.034	N/A	CSPII
LSQ15agh	17.734	17.456	0.035	N/A	CSPII
LSQ15aja	18.036	17.788	0.034	N/A	CSPII
LSQ15alq	17.319	17.402	0.033	N/A	CSPII
LSQ15bv	18.186	18.235	0.036	N/A	CSPII
PS1-14ra	16.627	17.02	0.033	N/A	CSPII
PS1-14rx	18.545	18.65	0.045	N/A	CSPII
PS1-14xw	15.801	15.811	0.034	N/A	CSPII
PS15sv	16.426	16.508	0.034	N/A	CSPII
PTF11pbp	16.354	16.294	0.034	N/A	CSPII
PTF11ppn	18.683	19.532	0.49	N/A	CSPII
PTF11pra	18.085	21.179	0.08	N/A	CSPII
PTF11qnr	15.762	16.724	0.034	N/A	CSPII
PTF13anh	17.931	17.539	0.037	N/A	CSPII
PTF13duj	15.054	14.993	0.039	N/A	CSPII
PTF13dwl	18.464	18.273	0.058	N/A	CSPII
PTF13ebh	15.043	15.697	0.033	N/A	CSPII
PTF13efe	18.212	17.93	0.038	N/A	CSPII
PTF13ez	17.373	17.982	0.046	N/A	CSPII
PTF14aaf	18.041	17.936	0.035	N/A	CSPII
PTF14aje	18.531	20.636	0.034	N/A	CSPII
PTF14fpg	16.76	16.662	0.035	N/A	CSPII
PTF14gnl	17.429	17.241	0.034	N/A	CSPII
PTF14uo	18.712	18.228	0.039	N/A	CSPII
PTF14w	16.086	16.52	0.033	N/A	CSPII
PTF14yy	18.482	19.447	0.036	N/A	CSPII
SN1980N	12.458	12.749	0.004	N1316	N/A
SN1981B	11.979	12.251	0.008	N4536	N/A
SN1981D	12.554	13.255	0.035	N1316	N/A
SN1989B	12.311	13.524	0.01	N3627	N/A
SN1994D	11.84	11.866	0.006	N4526	N/A
SN1994ae	13.142	13.28	0.003	N3370	N/A
SN1995al	13.343	13.714	0.006	N3021	N/A
SN1998bu	12.066	13.128	0.003	N3368	N/A
SN2001el	12.822	13.3	0.005	N1448	N/A
SN2002fk	13.202	12.962	0.006	N1309	N/A
SN2004ef	16.871	17.385	0.033	N/A	CSPI
SN2004eo	15.126	15.327	0.033	N/A	CSPI
SN2004ey	14.777	14.616	0.032	N/A	CSPI
SN2004gs	17.182	18.049	0.033	N/A	CSPI
SN2004gu	17.428	17.66	0.04	N/A	CSPI
SN2005A	18.116	21.124	0.036	N/A	CSPI
SN2005M	15.924	15.703	0.033	N/A	CSPI
SN2005W	14.208	14.807	0.033	N/A	CSPI
SN2005ag	18.427	18.117	0.035	N/A	CSPI
SN2005al	14.887	14.875	0.033	N/A	CSPI
SN2005am	13.7	14.14	0.033	N/A	CSPI
SN2005be	16.985	17.372	0.109	N/A	CSPI
SN2005bg	15.851	15.905	0.112	N/A	CSPI
SN2005bl	18.477	20.863	0.046	N/A	CSPI
SN2005bo	15.673	16.534	0.033	N/A	CSPI
SN2005el	14.895	14.81	0.034	N/A	CSPI
SN2005eq	16.292	16.033	0.034	N/A	CSPI
SN2005hc	17.309	17.137	0.034	N/A	CSPI
SN2005hj	17.761	17.805	0.044	N/A	CSPI
SN2005iq	16.795	16.826	0.034	N/A	CSPI
SN2005ir	18.405	18.539	0.039	N/A	CSPI
SN2005kc	15.589	16.374	0.034	N/A	CSPI
SN2005ke	14.795	17.137	0.034	N/A	CSPI
SN2005ki	15.587	15.692	0.033	N/A	CSPI
SN2005ku	17.544	17.869	0.134	N/A	CSPI
SN2005lu	17.258	17.932	0.12	N/A	CSPI
SN2005mc	17.229	18.449	0.098	N/A	CSPI
SN2005na	16.008	15.969	0.037	N/A	CSPI
SN2006D	14.194	14.671	0.033	N/A	CSPI
SN2006X	15.244	18.977	0.034	N/A	CSPI
SN2006ax	15.034	14.8	0.033	N/A	CSPI
SN2006bd	18.737	21.192	0.053	N/A	CSPI
SN2006bh	14.369	14.515	0.033	N/A	CSPI
SN2006br	18.94	21.545	0.18	N/A	CSPI
SN2006dd	12.228	11.99	0.002	N1316	N/A
SN2006ej	15.749	15.997	0.087	N/A	CSPI
SN2006eq	18.58	19.809	0.119	N/A	CSPI
SN2006et	15.973	16.126	0.034	N/A	CSPI
SN2006ev	17.154	17.841	0.107	N/A	CSPI
SN2006fw	19.092	19.515	0.107	N/A	CSPI
SN2006gj	17.669	18.828	0.034	N/A	CSPI
SN2006gt	18.221	19.292	0.036	N/A	CSPI
SN2006hb	15.583	16.417	0.095	N/A	CSPI
SN2006hx	17.534	17.914	0.052	N/A	CSPI
SN2006is	16.173	16.23	0.123	N/A	CSPI
SN2006kf	15.974	16.264	0.033	N/A	CSPI
SN2006lu	17.548	17.491	0.101	N/A	CSPI
SN2006mr	15.319	17.804	0.041	N/A	CSPI
SN2006ob	18.281	18.838	0.035	N/A	CSPI
SN2006os	17.611	18.628	0.098	N/A	CSPI
SN2006py	17.914	18.202	0.042	N/A	CSPI
SN2007A	15.718	16.26	0.037	N/A	CSPI
SN2007N	18.05	21.241	0.039	N/A	CSPI
SN2007S	15.793	16.632	0.035	N/A	CSPI
SN2007af	13.184	13.451	0.011	N5584	CSPI
SN2007ai	17.029	17.298	0.039	N/A	CSPI
SN2007al	17.32	19.761	0.04	N/A	CSPI
SN2007as	15.489	15.853	0.033	N/A	CSPI
SN2007ax	16.193	18.59	0.04	N/A	CSPI
SN2007ba	17.754	19.047	0.038	N/A	CSPI
SN2007bc	15.858	16.053	0.033	N/A	CSPI
SN2007bd	16.567	16.649	0.036	N/A	CSPI
SN2007bm	14.424	15.807	0.034	N/A	CSPI
SN2007ca	15.89	16.587	0.035	N/A	CSPI
SN2007cg	18.21	20.201	0.205	N/A	CSPI
SN2007hj	15.631	16.575	0.033	N/A	CSPI
SN2007hx	19.259	19.89	0.126	N/A	CSPI
SN2007jd	18.843	19.254	0.137	N/A	CSPI
SN2007jg	17.261	17.467	0.034	N/A	CSPI
SN2007jh	18.305	19.419	0.044	N/A	CSPI
SN2007le	13.891	14.761	0.033	N/A	CSPI
SN2007mm	19.628	21.155	0.053	N/A	CSPI
SN2007nq	17.43	17.806	0.034	N/A	CSPI
SN2007ol	18.049	18.113	0.049	N/A	CSPI
SN2007on	13.032	13.675	0.006	N1404	CSPI
SN2007sr	12.794	13.253	0.056	N4038	CSPI
SN2007st	15.834	16.419	0.137	N/A	CSPI
SN2007ux	17.407	18.349	0.034	N/A	CSPI
SN2008C	15.663	16.197	0.12	N/A	CSPI
SN2008O	18.148	19.352	0.037	N/A	CSPI
SN2008R	15.27	15.908	0.034	N/A	CSPI
SN2008ar	16.232	16.292	0.034	N/A	CSPI
SN2008bc	14.748	14.591	0.033	N/A	CSPI
SN2008bf	15.711	15.526	0.033	N/A	CSPI
SN2008bi	17.001	19.071	0.26	N/A	CSPI
SN2008bq	16.713	16.63	0.036	N/A	CSPI
SN2008bt	16.761	18.659	0.035	N/A	CSPI
SN2008bz	17.953	17.885	0.098	N/A	CSPI
SN2008cc	14.338	15.013	0.097	N/A	CSPI
SN2008cd	18.809	23.752	0.699	N/A	CSPI
SN2008cf	17.057	16.995	0.111	N/A	CSPI
SN2008ff	15.403	15.818	0.038	N/A	CSPI
SN2008fl	15.681	15.968	0.086	N/A	CSPI
SN2008fp	13.936	15.251	0.034	N/A	CSPI
SN2008fr	16.823	16.788	0.116	N/A	CSPI
SN2008fu	17.717	17.788	0.15	N/A	CSPI
SN2008fw	13.994	14.058	0.108	N/A	CSPI
SN2008gg	16.572	16.941	0.102	N/A	CSPI
SN2008gl	16.818	17.036	0.033	N/A	CSPI
SN2008go	18.042	18.229	0.038	N/A	CSPI
SN2008gp	16.431	16.357	0.034	N/A	CSPI
SN2008hj	16.783	16.747	0.033	N/A	CSPI
SN2008hu	17.849	18.098	0.108	N/A	CSPI
SN2008hv	14.741	14.739	0.034	N/A	CSPI
SN2008ia	15.881	15.938	0.036	N/A	CSPI
SN2009D	15.752	15.459	0.034	N/A	CSPI
SN2009F	16.908	18.889	0.04	N/A	CSPI
SN2009I	18.181	20.033	0.056	N/A	CSPI
SN2009P	17.022	18.147	0.068	N/A	CSPI
SN2009Y	13.992	14.221	0.037	N/A	CSPI
SN2009aa	16.333	16.433	0.034	N/A	CSPI
SN2009ab	14.713	14.93	0.034	N/A	CSPI
SN2009ad	16.203	16.147	0.038	N/A	CSPI
SN2009ag	14.608	15.102	0.035	N/A	CSPI
SN2009al	16.246	16.891	0.045	N/A	CSPI
SN2009cz	15.701	15.507	0.036	N/A	CSPI
SN2009ds	15.482	15.625	0.039	N/A	CSPI
SN2009le	15.346	15.586	0.034	N/A	CSPI
SN2011fe	10.004	10.066	0.002	M101	N/A
SN2011iv	12.463	12.807	0.006	N1404	CSPII
SN2011iy	12.154	12.842	0.034	N/A	CSPII
SN2011jh	15.09	16.418	0.033	N/A	CSPII
SN2011jn	17.919	18.555	0.143	N/A	CSPII
SN2011jt	16.644	17.232	0.14	N/A	CSPII
SN2012E	15.668	15.86	0.034	N/A	CSPII
SN2012G	15.98	15.649	0.034	N/A	CSPII
SN2012U	15.497	15.543	0.129	N/A	CSPII
SN2012ah	14.446	14.304	0.112	N/A	CSPII
SN2012aq	17.576	17.651	0.095	N/A	CSPII
SN2012ar	16.497	16.78	0.033	N/A	CSPII
SN2012bl	15.211	15.241	0.037	N/A	CSPII
SN2012bo	16.176	15.99	0.034	N/A	CSPII
SN2012cg	11.996	12.207	0.006	N4424	N/A
SN2012fr	11.935	11.805	0.004	N1365	CSPII
SN2012gm	15.347	15.893	0.033	N/A	CSPII
SN2012hd	14.899	15.394	0.033	N/A	CSPII
SN2012hl	17.732	18.918	0.04	N/A	CSPII
SN2012hr	13.623	13.683	0.032	N/A	CSPII
SN2012id	15.265	15.62	0.132	N/A	CSPII
SN2012ij	15.519	16.62	0.036	N/A	CSPII
SN2013E	13.768	13.824	0.033	N/A	CSPII
SN2013H	15.638	16.135	0.033	N/A	CSPII
SN2013M	16.616	16.743	0.035	N/A	CSPII
SN2013U	17.007	17.195	0.036	N/A	CSPII
SN2013aa	11.098	10.866	0.007	N5643	CSPII
SN2013ad	16.042	15.76	0.035	N/A	CSPII
SN2013aj	14.09	14.459	0.033	N/A	CSPII
SN2013as	18.33	18.359	0.102	N/A	CSPII
SN2013ay	16.284	18.199	0.127	N/A	CSPII
SN2013az	17.229	17.694	0.106	N/A	CSPII
SN2013bc	18.187	20.777	0.091	N/A	CSPII
SN2013bz	15.446	15.704	0.036	N/A	CSPII
SN2013cg	13.848	14.156	0.124	N/A	CSPII
SN2013ct	11.843	12.066	0.035	N/A	CSPII
SN2013fy	16.269	16.08	0.036	N/A	CSPII
SN2013fz	15.417	15.404	0.033	N/A	CSPII
SN2013gv	16.76	16.85	0.035	N/A	CSPII
SN2013gy	14.697	14.8	0.033	N/A	CSPII
SN2013hh	17.194	18.641	0.109	N/A	CSPII
SN2013hn	14.886	14.864	0.103	N/A	CSPII
SN2014D	17.251	19.057	0.109	N/A	CSPII
SN2014I	16.296	16.42	0.033	N/A	CSPII
SN2014Z	15.54	15.511	0.098	N/A	CSPII
SN2014ao	16.919	18.884	0.033	N/A	CSPII
SN2014at	16.389	16.327	0.033	N/A	CSPII
SN2014ba	16.121	19.263	0.143	N/A	CSPII
SN2014dl	16.031	15.799	0.035	N/A	CSPII
SN2014dn	17.66	19.949	0.034	N/A	CSPII
SN2014eg	15.512	16.005	0.036	N/A	CSPII
SN2017cbv	11.124	11.025	0.009	N5643	N/A
SNhunt281	13.695	14.11	0.033	N/A	CSPII
