         sn        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       BV     eBV    covBV_M      ml       m      mu    host    dist   edist   caltype  
   LSQ12cda   0.1374948   0.1384035   0.814   0.105   20.191   0.101     4.3   0.0284   0.0028    -0.003702    0.087   0.119   0.010201    9.69    9.82    9.98     N/A    -1.0    -1.0      none  
   LSQ12cdl   0.1079253   0.1090245   0.988   0.045   19.142    0.06     2.4   0.0492   0.0049    0.0001822   -0.143   0.075     0.0036    8.79    8.81    8.93     N/A    -1.0    -1.0      none  
   LSQ12fuk   0.0205857   0.0205571   1.003   0.006   15.674   0.008    -0.2   0.0714   0.0071   -6.362e-06   -0.009   0.012    6.4e-05     8.2    8.34    8.45     N/A    -1.0    -1.0      none  
   LSQ12fvl     0.05593    0.055977    0.61   0.008   18.764   0.012    -4.9   0.0179   0.0018    2.949e-05    0.251   0.016   0.000144   10.55   10.74   10.93     N/A    -1.0    -1.0      none  
   LSQ12fxd     0.03122   0.0313344   1.161   0.006   16.285   0.004    -9.9   0.0217   0.0022   -5.305e-07   -0.008   0.006    1.6e-05   10.16   10.28    10.4     N/A    -1.0    -1.0      none  
   LSQ12gdj   0.0303033   0.0292813   1.167   0.007    15.85   0.005   -11.2   0.0199    0.002    1.562e-07   -0.035   0.007    2.5e-05    8.36    8.66    8.76     N/A    -1.0    -1.0      none  
   LSQ12gln   0.1020294   0.1021611   1.113    0.02   18.968   0.008    -3.9   0.0201    0.002   -3.631e-05   -0.072   0.012    6.4e-05     8.6    8.75    9.07     N/A    -1.0    -1.0      none  
   LSQ12gxj      0.0353    0.034596   1.107   0.009   18.071   0.004    -9.8   0.0571   0.0057    4.188e-06    0.262   0.006    1.6e-05    9.06    9.18    9.31     N/A    -1.0    -1.0      none  
   LSQ12hjm   0.0713506   0.0707978   0.963   0.005   18.293   0.004    -5.8   0.0246   0.0025    1.064e-05   -0.068   0.006    1.6e-05    9.93   10.09   10.25     N/A    -1.0    -1.0      none  
   LSQ12hno   0.0472673   0.0468084   0.989   0.015   17.919   0.008    -1.1   0.0994   0.0099    2.337e-05    0.046    0.01    6.4e-05    7.64     7.7     7.9     N/A    -1.0    -1.0      none  
   LSQ12hnr      0.1243   0.1255265   1.167   0.038   19.404   0.054     2.0   0.0324   0.0032   -0.0001522    0.005   0.067   0.002916    7.93    8.05    8.16     N/A    -1.0    -1.0      none  
   LSQ12hvj   0.0712507   0.0723911   1.206   0.014   18.409   0.007    -5.5   0.0458   0.0046    5.896e-06     0.08   0.009    4.9e-05    8.79    9.05    9.22     N/A    -1.0    -1.0      none  
   LSQ12hxx     0.06936   0.0689135   1.204   0.023   18.235   0.013    -0.8   0.0153   0.0015   -4.058e-05    0.077   0.017   0.000169   10.28   10.45   10.58     N/A    -1.0    -1.0      none  
   LSQ12hzj      0.0334   0.0345752    0.97   0.004    16.51   0.005    -4.1   0.0569   0.0057    7.321e-06    -0.07   0.007    2.5e-05    9.32    9.35    9.73     N/A    -1.0    -1.0      none  
   LSQ12hzs     0.07208   0.0718169   1.145   0.012   18.806   0.007    -7.5   0.0227   0.0023   -1.882e-06      0.1   0.011    4.9e-05    9.88   10.02   10.42     N/A    -1.0    -1.0      none  
   LSQ13abo   0.0674467   0.0681328   0.877   0.019   18.809   0.024    -7.0   0.0906   0.0091    0.0002905    0.205   0.028   0.000576   10.04   10.31   10.34     N/A    -1.0    -1.0      none  
   LSQ13aiz      0.0092   0.0102493   0.964   0.006    13.71   0.007    -8.4   0.0788   0.0079    1.646e-05     0.08   0.009    4.9e-05    8.12    8.24    8.34     N/A    -1.0    -1.0      none  
   LSQ13cwp      0.0666   0.0662474    0.94   0.016   18.395   0.016    -6.7   0.1326   0.0133    0.0001349    0.086    0.02   0.000256   10.39   10.54    10.7     N/A    -1.0    -1.0      none  
   LSQ13dcy      0.0801   0.0800671   1.213   0.042   19.189   0.017    -2.1   0.0408   0.0041      7.8e-06    0.095   0.023   0.000289    9.01    9.18    9.34     N/A    -1.0    -1.0      none  
   LSQ13dhj      0.0935   0.0929027    1.16   0.019   19.057   0.013    -6.7   0.0132   0.0013    4.104e-06    0.057   0.019   0.000169    8.27    8.63    8.78     N/A    -1.0    -1.0      none  
   LSQ13dkp   0.0689367   0.0685268   0.657   0.008   18.771    0.01    -4.7   0.0145   0.0015    2.652e-05    0.019   0.013     0.0001   10.61    10.8   10.92     N/A    -1.0    -1.0      none  
   LSQ13dpm   0.0508648   0.0520617   1.055   0.009   17.683   0.004    -7.7   0.0529   0.0053    1.393e-05   -0.013   0.005    1.6e-05    9.06    9.17     9.6     N/A    -1.0    -1.0      none  
   LSQ13dsm   0.0423707   0.0419767   0.908   0.004   17.263   0.006   -11.8   0.0088   0.0009    1.043e-05   -0.024   0.008    3.6e-05    8.85    9.01    9.14     N/A    -1.0    -1.0      none  
    LSQ13lq   0.0755477   0.0765051   1.054   0.012   18.003   0.005    -6.1   0.0215   0.0022    2.484e-05   -0.076   0.006    2.5e-05     8.0    8.44    8.63     N/A    -1.0    -1.0      none  
    LSQ13pf   0.0860404   0.0870045   0.917   0.038   19.645   0.058     1.2   0.0558   0.0056   -7.238e-05    0.216   0.072   0.003364   10.14   10.26   10.44     N/A    -1.0    -1.0      none  
    LSQ13ry   0.0298367    0.031032    0.88   0.006    16.54   0.009   -12.2   0.0403    0.004    2.209e-05    -0.05   0.011    8.1e-05    9.54    9.64     9.7     N/A    -1.0    -1.0      none  
    LSQ13vy   0.0417711   0.0421068   0.892   0.005    17.65   0.006    -5.8   0.0676   0.0068    1.262e-05    0.075   0.008    3.6e-05   10.15   10.17   10.33     N/A    -1.0    -1.0      none  
   LSQ14act     0.05905   0.0594518   0.701   0.008   18.372   0.008    -3.3   0.2269   0.0227     1.27e-05   -0.002   0.011    6.4e-05   10.07   10.17   10.61     N/A    -1.0    -1.0      none  
   LSQ14age   0.0805442   0.0815802   1.115   0.014   18.473   0.009   -11.9   0.0576   0.0058    2.389e-06   -0.019   0.013    8.1e-05    8.33    8.42    8.59     N/A    -1.0    -1.0      none  
   LSQ14ahc   0.0508648   0.0517592   1.252    0.01   17.271   0.008    -8.0   0.0461   0.0046    4.066e-05    -0.02   0.011    6.4e-05    8.89    9.13    9.62     N/A    -1.0    -1.0      none  
   LSQ14ahm   0.0497655   0.0509869   1.161   0.009    17.21   0.007   -10.6   0.0274   0.0027     9.58e-07   -0.059   0.011    4.9e-05    8.03     8.2    8.37     N/A    -1.0    -1.0      none  
   LSQ14ajn     0.02101   0.0221584   0.654   0.004   16.296   0.007    -0.3   0.0193   0.0019   -1.842e-06    0.066   0.009    4.9e-05    9.95   10.11    10.3     N/A    -1.0    -1.0      none  
   LSQ14asu   0.0683967    0.069594   0.775   0.012   18.888   0.009    -3.6   0.0372   0.0037    3.641e-05    0.004   0.011    8.1e-05   10.51   10.67   10.86     N/A    -1.0    -1.0      none  
   LSQ14auy   0.0824129   0.0832263   1.136   0.014   18.658   0.007    -4.3   0.0669   0.0067   -1.374e-05   -0.009   0.011    4.9e-05   10.61   10.74   11.19     N/A    -1.0    -1.0      none  
   LSQ14azy   0.0457633   0.0469322   1.136   0.027   17.682   0.055     3.6   0.0164   0.0016   -0.0001024    0.066   0.067   0.003025    9.75    9.94    10.1     N/A    -1.0    -1.0      none  
    LSQ14ba   0.0775463   0.0787677   0.959   0.006   18.794    0.01    -6.8   0.0493   0.0049    2.785e-05    0.034   0.013     0.0001     9.3    9.47    9.87     N/A    -1.0    -1.0      none  
   LSQ14bbv   0.0587593    0.058439   1.039   0.011   17.747   0.005    -2.4   0.0464   0.0046    1.941e-05    0.008   0.006    2.5e-05    10.9   11.02   11.14     N/A    -1.0    -1.0      none  
   LSQ14bjj   0.0811438   0.0819882   0.996   0.008   18.465   0.007    -4.4   0.0408   0.0041    2.508e-05   -0.082   0.009    4.9e-05     8.3    8.46    8.91     N/A    -1.0    -1.0      none  
   LSQ14fms    0.077946   0.0773231   0.849   0.015   19.009   0.012    -3.2   0.0143   0.0014    4.751e-05    0.165   0.016   0.000144    10.0   10.11   10.49     N/A    -1.0    -1.0      none  
   LSQ14foj   0.0460667   0.0451705   1.015    0.01   17.342   0.008   -10.8   0.0121   0.0012    3.005e-05    0.047   0.011    6.4e-05    8.33    8.44     8.7     N/A    -1.0    -1.0      none  
   LSQ14fom     0.05626   0.0553279   0.947   0.009   17.794   0.008    -8.2   0.0184   0.0018    3.105e-05    0.021   0.011    6.4e-05     9.4    9.54    9.72     N/A    -1.0    -1.0      none  
   LSQ14gfb   0.0527067   0.0527873   0.605   0.035   19.568   0.055    -0.7   0.0159   0.0016    0.0002892    0.526   0.064   0.003025   10.11    10.3   10.64     N/A    -1.0    -1.0      none  
   LSQ14gfn   0.1216158   0.1210925   0.991   0.023   19.366   0.017    -3.9   0.0332   0.0033    7.615e-05    0.037   0.021   0.000289   10.42   10.54   10.88     N/A    -1.0    -1.0      none  
   LSQ14ghv   0.0666539   0.0662566   0.949   0.009    18.37   0.009    -3.6   0.0088   0.0009    2.881e-05   -0.022   0.011    8.1e-05   10.06   10.18   10.31     N/A    -1.0    -1.0      none  
   LSQ14gov    0.089538   0.0892443   1.141   0.008   18.467   0.006    -9.3   0.0357   0.0036   -2.208e-06   -0.105   0.009    3.6e-05    8.85    9.02    9.19     N/A    -1.0    -1.0      none  
    LSQ14ie    0.089538   0.0905466   1.155    0.01   18.742   0.007    -8.1   0.0717   0.0072   -3.443e-06   -0.023   0.011    4.9e-05    7.95    8.08    8.21     N/A    -1.0    -1.0      none  
    LSQ14ip   0.0612967   0.0624196   0.522   0.009   19.493   0.016    -7.2   0.0373   0.0037    1.356e-05    0.345   0.021   0.000256   10.01   10.18   10.31     N/A    -1.0    -1.0      none  
    LSQ14jp     0.04539   0.0464896   0.677   0.007   18.138   0.007    -8.4    0.053   0.0053    1.518e-05    0.123   0.009    4.9e-05   10.48   10.54   10.81     N/A    -1.0    -1.0      none  
    LSQ14mc     0.05662   0.0575661   0.964   0.004   17.818   0.005    -6.6   0.0207   0.0021    8.288e-06   -0.029   0.006    2.5e-05    9.16    9.17    9.43     N/A    -1.0    -1.0      none  
     LSQ14q   0.0669503    0.067871   0.958   0.004   18.178   0.006   -12.7   0.0198    0.002    1.059e-05   -0.047   0.008    3.6e-05    8.92    9.32    9.42     N/A    -1.0    -1.0      none  
    LSQ14wp   0.0694519   0.0706148   1.138   0.011   17.874   0.007    -7.8   0.0207   0.0021   -3.412e-06    -0.05    0.01    4.9e-05    7.23    7.48    7.59     N/A    -1.0    -1.0      none  
    LSQ14xi   0.0507429   0.0519014   1.142   0.011   18.256   0.007    -8.6   0.0368   0.0037    8.231e-07    0.212   0.011    4.9e-05   10.77    10.9   11.07     N/A    -1.0    -1.0      none  
   LSQ15aae   0.0515643   0.0517701   1.226   0.008   17.835   0.006    -5.6   0.0616   0.0062    1.534e-05    0.079   0.008    3.6e-05    10.1   10.27   10.46     N/A    -1.0    -1.0      none  
   LSQ15agh   0.0599585   0.0610193    1.14   0.008   17.733   0.005    -5.6   0.0216   0.0022   -3.956e-06   -0.036   0.008    2.5e-05    9.72    9.87    9.99     N/A    -1.0    -1.0      none  
   LSQ15aja   0.0699516   0.0699657   1.027    0.01    18.03   0.007    -9.1   0.0545   0.0054    4.415e-05   -0.092   0.009    4.9e-05    7.34    7.46    7.58     N/A    -1.0    -1.0      none  
   LSQ15alq   0.0470667   0.0480953    0.92   0.005   17.319   0.005   -12.1   0.0668   0.0067     1.28e-05   -0.004   0.006    2.5e-05   10.22    10.4   10.82     N/A    -1.0    -1.0      none  
    LSQ15bv      0.0689   0.0701168   0.955    0.01   18.185   0.009    -1.7   0.0443   0.0044   -1.086e-05   -0.003   0.017    8.1e-05   10.39   10.56   10.77     N/A    -1.0    -1.0      none  
  PS1-13eao   0.0377533    0.037362   0.893   0.047   21.827   0.098    -0.9   0.0107   0.0011     0.000109    1.509     0.1   0.009604   10.56   10.73   11.04     N/A    -1.0    -1.0      none  
   PS1-14ra   0.0280833   0.0287982   0.778   0.006   16.623   0.005    -0.1    0.023   0.0023   -3.812e-06    0.052   0.006    2.5e-05   10.35   10.65   10.72     N/A    -1.0    -1.0      none  
   PS1-14rx   0.0669536   0.0680019   0.848   0.018   18.547   0.021    -8.1   0.0266   0.0027    0.0001848   -0.022   0.028   0.000441    9.77    9.89   10.06     N/A    -1.0    -1.0      none  
   PS1-14xw      0.0245   0.0245957   1.036    0.01   15.798   0.005    -3.1   0.0656   0.0066    1.186e-05    0.018   0.006    2.5e-05   11.11   11.24   11.71     N/A    -1.0    -1.0      none  
     PS15sv    0.033277   0.0335844   1.113   0.014    16.44   0.009    -3.0   0.0782   0.0078   -2.215e-05    0.013   0.013    8.1e-05     8.2    8.31    8.56     N/A    -1.0    -1.0      none  
   PTF11pbp   0.0289033   0.0276702   1.157   0.007   16.353   0.005    -6.4   0.0507   0.0051   -3.501e-06    0.051   0.007    2.5e-05   10.73   10.88   10.97     N/A    -1.0    -1.0      none  
   PTF11ppn   0.0672534   0.0661869    0.66   0.038    18.77   0.137     7.2    0.132   0.0132     0.000675    0.245   0.164   0.018769   10.96   11.02   11.06     N/A    -1.0    -1.0      none  
   PTF11pra   0.0175433   0.0167242   0.442   0.017   18.098   0.049     1.2   0.0243   0.0024   -5.234e-06    0.935   0.061   0.002401   10.57   10.68   10.75     N/A    -1.0    -1.0      none  
   PTF11qnr   0.0162167   0.0149985   0.807   0.008   15.763   0.007    -9.3   0.0556   0.0056    2.487e-05    0.255   0.009    4.9e-05   10.38   10.65    10.7     N/A    -1.0    -1.0      none  
